cluster_id,tier
11,Tier 1
55,Tier 1
1,Tier 1
29,Tier 1
88,Tier 1
68,Tier 1
43,Tier 1
38,Tier 1
6,Tier 1
59,Tier 1
65,Tier 1
17,Tier 1
48,Tier 1
23,Tier 1
50,Tier 1
58,Tier 1
63,Tier 1
8,Tier 1
53,Tier 1
64,Tier 1
3,Tier 1
70,Tier 1
39,Tier 1
85,Tier 1
25,Tier 1
14,Tier 1
79,Tier 1
35,Tier 1
96,Tier 1
82,Tier 1
2,Tier 1
61,Tier 1
33,Tier 1
42,Tier 1
40,Tier 1
21,Tier 1
49,Tier 1
84,Tier 1
57,Tier 1
75,Tier 1
36,Tier 1
92,Tier 1
13,Tier 1
37,Tier 1
32,Tier 1
5,Tier 1
7,Tier 1
0,Tier 1
46,Tier 1
26,Tier 1
28,Tier 1
34,Tier 1
83,Tier 1
30,Tier 1
4,Tier 1
24,Tier 2
15,Tier 2
47,Tier 2
80,Tier 2
97,Tier 2
95,Tier 2
56,Tier 2
71,Tier 2
12,Tier 2
69,Tier 2
77,Tier 2
94,Tier 2
99,Tier 2
72,Tier 2
87,Tier 2
51,Tier 2
93,Tier 2
74,Tier 2
90,Tier 2
78,Tier 2
98,Tier 2
91,Tier 2
10,Tier 3
76,Tier 3
9,Tier 3
27,Tier 3
19,Tier 3
67,Tier 3
20,Tier 3
60,Tier 3
81,Tier 3
16,Tier 3
18,Tier 3
44,Tier 3
66,Tier 3
22,Tier 3
52,Tier 3
54,Tier 3
62,Tier 3
86,Tier 3
31,Tier 3
73,Tier 3
89,Tier 3
45,Tier 3
41,Tier 3
