,RMSE,MAE,MAPE
11,109.07424015624885,80.4968143399875,55.923196402432254
55,57.725174201158055,42.45883382873258,23.19018380116881
1,61.01290311792092,45.487974292610026,17.124398268398654
29,66.55748977034119,46.296220773782686,54.65142746121813
88,68.42673340920282,45.16757276845731,42.20983116927674
68,53.59251005363975,34.11544356610011,12.613014899225721
38,45.71701122747137,32.12234327749695,14.8202686337692
43,54.09134012293988,38.32496952419416,17.092212575410407
59,48.849876879614875,35.92259287491565,36.65967119790522
6,47.27211696501728,35.07281852841653,15.264076460547999
Overall,61.23193959035549,43.54655837746935,28.95482808693531
