,RMSE,MAE,MAPE
11,93.30533291080788,64.08627284718578,60.39901998354351
55,50.399978331950265,35.28657027071481,14.254869696960771
1,50.34805355370785,36.119780438650544,10.86839675386622
29,44.98020917280186,31.407610604771516,66.11216092457991
88,53.97566214368204,33.88935788246236,42.80951556516218
68,50.70958768694165,31.374756734990566,9.975025311162971
38,38.72641643742824,27.03521478727619,10.758805495218482
43,50.363037881367,34.008739030233905,12.453987258764336
59,42.94236879883716,30.745582634019684,15.798630946253633
6,38.976988743122234,28.471736500695933,11.140081000459796
Overall,51.472763566064614,35.242562173100126,25.45704929359718
