feature,importance_gain
f4944,16050636.0
f4392,15772979.0
f1951,5895280.0
f1306,2808464.0
f1906,2071567.375
f943,1282669.125
f1712,919960.0
f971,861210.5
f1738,656947.5
f176,631070.0
f1950,621745.5625
f1136,521466.15625
f227,461774.21875
f489,402916.5
f4920,349302.0
f5375,327990.0
f498,319101.3125
f5424,293115.96875
f1279,272049.1875
f225,264403.4375
f439,242404.8125
f2516,236245.40625
f350,193429.71875
f2002,181145.421875
f824,179701.109375
f1496,155145.046875
f942,150903.359375
f12998,140968.0
f4177,134097.421875
f1736,130014.8828125
f351,129820.4375
f4054,127131.34375
f1351,122681.3359375
f59,117682.1171875
f7488,115929.375
f683,111752.8671875
f1720,110462.0
f3346,108435.6953125
f728,107427.296875
f320,97935.8515625
f778,94375.125
f559,94308.921875
f490,94099.90625
f611,87947.0
f4008,86457.8203125
f606,85019.4375
f171,84312.859375
f1015,79625.5
f537,74982.8515625
f13028,74860.5
f1858,74571.1484375
f3969,73771.03125
f4446,68194.7890625
f3936,66819.2265625
f4968,65594.6328125
f5014,65274.8125
f5328,64545.703125
f4638,59593.25
f2084,59252.6640625
f920,57189.91796875
f178,56814.0
f323,56623.734375
f851,56460.7109375
f1593,55747.921875
f514,55704.875
f2933,54518.0
f7499,50155.80078125
f1787,50152.15234375
f4848,49408.65234375
f371,46022.359375
f731,45945.37890625
f12887,45061.25
f153,42636.62109375
f1042,42039.5
f1023,41745.0
f5232,41171.88671875
f4796,41155.0
f5159,40478.5
f3981,40229.71875
f369,39416.03125
f13435,39316.421875
f12866,38608.28515625
f2813,38337.75
f1160,37825.02734375
f1316,37735.01953125
f1352,37731.15625
f853,37658.35546875
f5041,37322.33984375
f4359,37266.0
f125,35552.7578125
f13727,35384.375
f5089,35285.65625
f1839,35222.34375
f4647,34624.0
f4513,34535.5
f4034,33399.09375
f450,32011.0
f993,31302.876953125
f3558,30562.0625
f609,30497.5
f1574,30382.201171875
f4966,29725.0
f4536,29399.919921875
f9503,28693.0
f5352,27840.05859375
f245,27463.953125
f1859,27031.17578125
f1742,26739.5
f4829,26545.0
f1448,26022.115234375
f697,25835.8125
f753,25312.697265625
f848,25260.333984375
f12812,24793.1875
f8603,24628.017578125
f4031,24545.4375
f12977,24021.181640625
f1737,23964.943359375
f2396,23633.650390625
f13357,23188.1875
f661,23006.623046875
f12921,22941.5
f4104,22142.216796875
f4777,21567.0
f5256,21431.111328125
f5110,21306.3515625
f918,20998.5
f4222,20843.83203125
f13309,20817.85546875
f5399,20810.3671875
f393,20392.232421875
f438,19791.765625
f4077,19421.056640625
f13362,19109.4140625
f4969,19093.857421875
f1904,18521.681640625
f9525,18269.0
f4869,17827.0
f13441,17816.5625
f13399,17667.541015625
f101,17516.5
f13285,17386.03125
f2022,16944.8125
f3479,16719.625
f232,16268.625
f1683,16016.9169921875
f800,15861.923828125
f440,15691.8896484375
f4200,15604.7646484375
f12997,15236.0
f4342,14932.0
