feature,importance_shap
T2_S5_lag_1,37.46725
T0_S38_lag_1,8.797728
T2_S29_lag_1,8.196631
T2_S49_lag_1,4.198577
T2_S9_lag_1,3.6141806
T2_S47_lag_1,2.2183921
T0_S10_lag_12,2.198384
T0_S34_lag_12,1.9102539
T0_S17_lag_12,1.3368576
T5_S49_lag_1,1.1177342
T1_S48_lag_1,1.097028
T0_S33_lag_12,1.084204
T5_S45_lag_1,1.0658487
T0_S5_lag_1,1.0021762
T1_S4_lag_1,0.94202465
T1_S36_lag_1,0.8067398
T2_S12_lag_1,0.7788843
T0_S58_lag_1,0.7673714
T1_S45_lag_1,0.6988274
T0_S45_lag_1,0.6643807
T0_S63_lag_9,0.61978805
T0_S15_lag_1,0.59017944
T0_S82_lag_8,0.58542293
T5_S25_lag_8,0.57347107
T2_S19_lag_1,0.54887575
T0_S21_lag_15,0.5218551
T0_S5_lag_12,0.50545776
T1_S11_lag_1,0.5012178
T0_S20_lag_12,0.4853524
T5_S73_lag_7,0.48417234
T5_S7_lag_8,0.47807363
T1_S32_lag_1,0.47206923
T0_S44_lag_9,0.47188395
T0_S46_lag_1,0.46765268
T2_S65_lag_1,0.439216
T1_S13_lag_1,0.4367377
T0_S58_lag_11,0.42314348
T0_S40_lag_12,0.42113632
T0_S38_rolling_std_6,0.4145175
T0_S47_lag_9,0.41263035
T2_S14_lag_1,0.40914032
T1_S72_lag_1,0.39695263
T0_S12_lag_12,0.3939429
T0_S29_lag_10,0.38784587
T0_S82_lag_9,0.38265306
T0_S45_lag_12,0.37631497
T0_S68_lag_9,0.37277693
T0_S36_lag_1,0.36865443
T2_S48_lag_1,0.36626858
T5_S44_lag_8,0.36592275
T4_S109_lag_17,0.34165496
T0_S20_lag_9,0.3411474
T5_S22_lag_8,0.3252384
T0_S74_lag_11,0.31904456
T0_S6_lag_9,0.31609842
T0_S56_lag_1,0.3136317
T0_S82_lag_7,0.31180006
T0_S38_lag_12,0.30635488
T0_S28_lag_9,0.2944636
T0_S0_lag_8,0.2819559
T1_S63_lag_1,0.276313
T5_S55_lag_1,0.27418455
T2_S33_lag_1,0.27131408
T0_S44_lag_11,0.26654118
T0_S17_lag_1,0.26352605
T2_S28_lag_1,0.26342815
T3_S73_lag_1,0.2610835
T0_S17_lag_10,0.2572166
T0_S0_lag_1,0.25564346
T0_S12_lag_9,0.24534774
T4_S1_lag_18,0.24278948
T0_S23_lag_10,0.23694117
T0_S25_lag_9,0.23412699
T2_S53_lag_1,0.23301598
T2_S64_lag_1,0.23090455
T0_S40_lag_1,0.22853409
T0_S80_lag_11,0.22708021
T0_S14_lag_9,0.21690066
T2_S11_lag_1,0.2147232
T2_S15_lag_2,0.211423
T0_S65_lag_9,0.20784965
T2_S34_lag_1,0.20161445
T2_S50_lag_1,0.20023781
T5_S80_lag_7,0.19852455
T0_S0_lag_12,0.19700772
T2_S23_lag_1,0.19594215
T2_S38_lag_7,0.19588126
T0_S50_lag_11,0.18698321
T0_S36_lag_9,0.17785436
T0_S46_lag_9,0.17518483
T5_S41_lag_8,0.17235398
T0_S13_lag_9,0.17204618
T0_S44_lag_8,0.16990569
T2_S20_lag_21,0.16610414
T2_S5_lag_3,0.16481365
T0_S0_lag_10,0.16228147
T0_S36_lag_12,0.15927093
T0_S33_lag_14,0.15733737
T0_S79_lag_11,0.15547697
T1_S8_lag_1,0.15483004
T0_S0_lag_9,0.15455231
T0_S7_lag_9,0.1537556
T0_S27_lag_9,0.15271936
T4_S75_lag_10,0.15198898
T1_S65_lag_1,0.14797206
T2_S60_lag_1,0.14432383
T2_S36_lag_1,0.14272714
T0_S27_lag_11,0.13919729
T0_S25_lag_12,0.1374466
T0_S58_lag_9,0.13457616
T0_S37_lag_11,0.13406578
T2_S18_lag_1,0.133299
T2_S4_lag_1,0.12990767
T0_S54_lag_9,0.1282305
T0_S25_lag_8,0.12580582
T0_S62_lag_10,0.12527391
T2_S15_lag_1,0.12505057
T1_S10_lag_1,0.12422657
T0_S52_lag_10,0.12239237
T0_S67_lag_10,0.12142316
T2_S11_lag_2,0.11817946
T2_S46_rolling_std_6,0.11710604
T0_S44_lag_7,0.11629587
T3_S56_lag_19,0.11612998
T0_S0_lag_7,0.11585439
T0_S27_lag_19,0.11539193
T2_S45_lag_1,0.1146238
T4_S66_lag_12,0.11461525
T3_S79_lag_1,0.114103824
T0_S57_lag_11,0.113638744
T4_S137_lag_17,0.112691835
T0_S67_lag_1,0.111881584
T0_S47_lag_8,0.111047015
T0_S53_lag_10,0.10997209
T5_S60_lag_1,0.10982051
T5_S76_rolling_std_6,0.1082158
T2_S27_lag_1,0.10760482
T0_S73_lag_10,0.10756745
T0_S53_lag_9,0.106064014
T0_S17_lag_2,0.105533235
T0_S27_lag_10,0.10327656
T0_S49_lag_9,0.10289666
T0_S1_lag_8,0.10284034
T5_S21_lag_1,0.10255917
T0_S43_lag_9,0.10005315
T0_S50_rolling_std_6,0.099190995
T0_S70_lag_11,0.09916685
T2_S10_lag_1,0.09845147
T0_S0_lag_2,0.0981359
T0_S0_lag_6,0.09811883
T2_S29_lag_2,0.094900884
T0_S23_lag_21,0.09461986
T0_S10_lag_9,0.09437241
T2_S42_lag_1,0.09426717
T0_S46_lag_10,0.093355246
T0_S8_lag_11,0.09327616
T0_S23_lag_1,0.09279847
T2_S35_rolling_std_6,0.09267031
T0_S23_lag_8,0.092556104
T2_S49_rolling_std_6,0.09247027
T2_S19_rolling_std_6,0.091969736
T5_S49_lag_9,0.09193073
T0_S59_lag_9,0.09172649
T2_S57_lag_1,0.091556266
T1_S58_lag_1,0.09070602
T0_S45_lag_11,0.08980768
T0_S9_lag_8,0.08957423
T2_S38_lag_1,0.089381315
T0_S21_lag_1,0.087083735
T0_S69_lag_10,0.0870751
T0_S51_lag_11,0.08703389
T2_S16_lag_1,0.08675226
T0_S11_lag_10,0.085840926
T2_S2_lag_1,0.084713764
T2_S29_lag_3,0.08448389
T0_S56_lag_12,0.08424924
T2_S17_rolling_std_6,0.0841998
T0_S4_lag_1,0.0831329
T0_S18_lag_9,0.082687624
T0_S16_lag_9,0.08187011
T0_S80_lag_9,0.081094995
T2_S22_lag_1,0.080777094
T0_S2_lag_11,0.08027227
T2_S3_rolling_std_6,0.08025906
T2_S61_lag_1,0.07824365
T2_S37_lag_1,0.078192435
T0_S51_lag_9,0.077931754
T0_S74_lag_9,0.0778407
T0_S34_rolling_std_6,0.077723846
T0_S8_lag_9,0.07771596
T2_S30_lag_1,0.07764364
T0_S53_lag_12,0.077146985
T2_S19_lag_10,0.07710221
T0_S0_lag_13,0.07677803
T0_S29_lag_9,0.076077975
T0_S9_lag_11,0.074496046
T2_S5_rolling_mean_6,0.07402826
T0_S63_lag_10,0.073965356
T0_S68_lag_11,0.073961
T0_S62_lag_9,0.07349871
T0_S19_lag_7,0.07342211
T1_S35_lag_21,0.07331034
T0_S4_lag_9,0.07310196
T1_S31_lag_1,0.072570294
T0_S25_lag_10,0.07202312
T0_S18_rolling_std_6,0.07199244
T0_S3_lag_8,0.07172318
T0_S57_lag_9,0.07075645
T0_S25_lag_6,0.07071626
T2_S54_lag_1,0.070704944
T0_S38_lag_11,0.07032202
T2_S26_lag_1,0.06948081
T0_S0_lag_4,0.0694602
T4_S117_lag_17,0.06795176
T2_S49_lag_3,0.06794132
T1_S61_lag_8,0.067661926
T4_S9_lag_12,0.06680115
T0_S22_lag_6,0.06635224
T0_S37_lag_12,0.06628653
T5_S58_lag_1,0.066084154
T2_S0_lag_1,0.064872995
T0_S54_lag_10,0.0642931
T2_S63_lag_2,0.064195
T0_S41_lag_9,0.06413387
T0_S24_lag_1,0.06390549
T2_S20_lag_1,0.06377773
T2_S52_lag_1,0.063234136
T2_S41_rolling_std_6,0.062858805
T2_S35_lag_1,0.06259346
T2_S41_lag_23,0.06234052
T0_S0_lag_3,0.062320832
T0_S14_lag_10,0.062218655
T0_S13_lag_8,0.062076785
T0_S48_lag_9,0.061946247
T0_S79_lag_9,0.06189275
T0_S13_lag_7,0.061365068
T0_S22_lag_9,0.061100904
T0_S57_lag_8,0.06102465
T0_S68_lag_15,0.06090643
T0_S25_rolling_std_6,0.060695477
T0_S1_lag_9,0.060622595
T3_S32_lag_1,0.060583666
T2_S63_rolling_std_6,0.06008729
T2_S57_rolling_std_6,0.059650958
T0_S38_lag_9,0.058977794
T0_S80_lag_12,0.058926906
T2_S32_lag_1,0.05892598
T5_S6_lag_5,0.0589247
T0_S22_lag_10,0.058922037
T0_S19_lag_8,0.058833215
T1_S20_lag_1,0.058628563
T5_S73_lag_5,0.058448594
T0_S32_lag_1,0.05820479
T0_S73_lag_11,0.05816869
T0_S21_lag_9,0.05779521
T0_S14_lag_11,0.057408933
T0_S81_lag_1,0.057276476
T0_S21_lag_7,0.057158753
T0_S32_lag_10,0.05688442
T2_S63_lag_1,0.056568943
T0_S71_lag_11,0.056535132
T0_S1_lag_12,0.056165375
T0_S78_lag_9,0.05558454
T2_S56_lag_3,0.055479232
T0_S20_lag_11,0.055300258
T2_S7_lag_1,0.05527442
T0_S59_lag_11,0.05522184
T4_S80_lag_11,0.055137932
