feature,importance_gain
f30744,20604068.0
f34608,14378385.0
f6559,4778496.0
f13282,2478318.0
f9082,1903554.25
f12106,1739854.5
f35615,1724878.375
f34440,1619641.125
f13614,1093395.125
f36119,967662.0
f5720,886854.0
f11936,680666.0
f6731,654337.0
f10928,494708.0
f10426,491114.0
f7904,448612.25
f2195,425343.5
f29567,376664.59375
f9418,362800.71875
f6558,335419.25
f27550,283964.75
f11937,267146.78125
f11768,258934.796875
f37968,249464.96875
f3202,231341.859375
f13615,222128.875
f10424,205621.0
f3032,203083.453125
f5386,178274.75
f57545,145975.0
f13951,127682.765625
f20047,126373.796875
f37487,126034.75
f18655,110665.65625
f37416,109802.4375
f28894,108694.0
f85781,103654.0
f37296,98831.5546875
f27890,96505.390625
f848,94283.2578125
f89786,94233.53125
f5217,93081.75
f30070,92553.03125
f52839,91848.1875
f89729,89254.46875
f29236,88657.3125
f36816,77103.5
f26455,77036.0
f29231,75695.25
f31439,72940.8125
f89969,70981.6328125
f2531,68903.015625
f29903,64664.0
f34776,62133.33203125
f71295,60996.6875
f34439,60831.625
f80215,60409.4375
f27720,59303.30078125
f2528,59295.25
f9235,58794.15625
f36775,58359.390625
f31583,58298.89453125
f36286,58278.16015625
f82567,58024.90625
f61914,57712.63671875
f79048,56499.0
f30262,56228.0625
f86314,56154.83203125
f7063,54955.93359375
f28724,54694.4375
f14020,53698.0625
f7723,53161.5625
f27215,52649.0
f77890,51918.25
f69616,51715.140625
f79215,50324.0
f2525,49912.62890625
f5051,49646.92578125
f5071,47232.0
f42285,47203.25
f86287,46659.96875
f342,46428.8828125
f35954,46210.97265625
f36622,46160.28515625
f23406,46001.453125
f19521,45283.875
f89723,45026.96484375
f1015,43858.0
f79889,43282.1953125
f56370,42367.89453125
f56319,41922.5
f3370,41673.9765625
f82585,41460.71875
f86291,40741.0
f6052,40296.5234375
f30238,39405.125
f40775,38228.0
f7399,37264.0
f20382,37025.4453125
f42605,36423.953125
f23407,35746.48828125
f27909,35635.40625
f5387,35178.73828125
f22877,34453.54296875
f89618,34256.2578125
f90160,33401.5
f12945,32456.0
f23551,32286.0
f89621,32255.625
f13279,31494.375
f37631,31195.0625
f70221,30913.0
f7906,29821.865234375
f37967,29727.0546875
f35278,28778.2734375
f90184,27579.09375
f41660,27124.75
f34614,27082.21875
f15702,27038.40625
f61214,26947.2265625
f9754,26275.947265625
f177,25682.84765625
f83596,25473.0
f73962,25295.671875
f19544,25219.0
f84107,23849.5
f11262,23800.875
f36142,23744.287109375
f70266,23490.375
f88613,23197.6875
f51355,22808.625
f3492,22552.2734375
f89167,22262.9375
f27192,22188.625
f28920,22126.875
f89897,22089.515625
f34779,21918.87890625
f50350,21885.384765625
f55844,21738.6875
f30576,21483.67578125
f70435,21328.25
f14161,20667.775390625
f2865,20596.494140625
f45981,20498.0625
f34296,20317.5625
f90070,20122.375
f90107,19833.3125
f680,19542.625
f72455,19497.625
f14199,19175.751953125
f15340,19154.67578125
f89714,18902.0859375
f11433,18605.5
f83597,18593.71875
f84293,18552.96875
f23742,18540.380859375
f845,18461.484375
f493,18317.25390625
f90119,17925.37109375
f2913,17823.3125
f84607,17204.625
f511,17106.875
f76374,16932.875
f90190,16812.75
f2872,16452.341796875
f89972,16220.662109375
f73630,16042.5
f77554,15780.0
f32086,15743.703125
f90161,15657.4248046875
f15507,15613.75390625
f32423,15160.0185546875
f34632,14932.8125
f2527,14921.375
f23718,14817.1083984375
f30888,14665.78125
f80956,14643.1015625
f85758,14635.2060546875
f31247,14381.55859375
f82109,14370.3125
f87822,14181.75
f66088,14031.1875
f67287,13623.3984375
f46827,13580.109375
f89585,13273.171875
f54789,13207.3125
f82281,12958.3486328125
f37799,12954.4599609375
f3703,12907.0
f27216,12508.3125
f32927,12493.93359375
f33264,12133.728515625
f30745,12081.0859375
f49527,12066.9375
f8240,12023.890625
f28393,12001.28125
f347,11912.5673828125
f7569,11836.75
f17043,11414.890625
f32591,11370.390625
f79929,11324.1015625
f37655,11259.125
f14192,11136.36328125
f9075,10976.98828125
f46651,10918.140625
f40938,10623.875
f8767,10520.5908203125
f23719,10257.474609375
f83115,10231.5625
f31942,10188.5
f48696,10134.8447265625
f52171,9989.5625
f32759,9848.2666015625
f55194,9739.5625
f16371,9661.21875
f88521,9612.328125
f7734,9584.82421875
f6397,9554.5625
f67283,9536.158203125
f81749,9491.1171875
f76542,9462.1796875
f41326,9432.5
f27071,9408.0791015625
f17547,9403.89453125
f32424,9318.875
f3029,9258.1474609375
f11097,9189.734375
f90193,9167.203125
f19,9141.4931640625
f16682,9091.65625
f10779,9018.25
f20218,8906.759765625
f74128,8808.9736328125
f2886,8805.71875
f29254,8730.13671875
f90154,8703.0859375
f3035,8618.8291015625
f36766,8607.875
f16346,8588.578125
f2370,8539.671875
f72136,8462.763671875
f18198,8452.625
f25590,8420.78125
f55175,8413.875
f4888,8235.48046875
f89632,8155.39013671875
f13785,8015.47900390625
f54833,7932.359375
f46820,7884.87744140625
f67572,7884.15625
f47827,7881.6875
f86933,7836.328125
f77239,7835.5
f11107,7829.7421875
f61382,7785.25390625
f50165,7724.2294921875
f2725,7644.453125
f33117,7579.3125
f69282,7423.896484375
f10929,7389.9375
f32404,7355.8828125
f18511,7119.9765625
f61195,7101.75
f13796,7026.51025390625
f23236,7016.58984375
f64094,6976.880859375
f13764,6950.0
f130,6864.9541015625
f75809,6807.5703125
f37244,6761.01171875
f28580,6744.09375
f13445,6726.24853515625
f8,6696.40087890625
f32255,6666.34375
f3377,6609.015625
f13616,6486.44482421875
f60568,6439.669921875
f7568,6317.55517578125
f35280,6158.50390625
f1687,6154.2734375
f21744,6102.3837890625
f23951,6058.796875
f71990,6013.849609375
f1503,5969.0
f187,5948.92919921875
f1543,5931.5
f35930,5924.46875
f90133,5920.328125
f2696,5853.515625
f79743,5785.28125
f33095,5762.8330078125
f9930,5757.2822265625
f83776,5702.75
f39623,5673.1796875
f56709,5638.9453125
f14166,5609.859375
f61193,5554.1875
f1523,5537.15869140625
f504,5534.25390625
f10593,5493.57470703125
f19205,5421.28125
f13113,5370.75
f348,5366.7578125
f27718,5340.8466796875
f828,5339.5859375
f5055,5287.84619140625
f76716,5214.37109375
f33932,5206.4443359375
f67795,5198.453125
f27384,5120.376953125
f32954,5075.2734375
f8071,5049.95703125
f33093,5030.90234375
f90151,5021.5546875
f90203,4982.3271484375
f16518,4955.125
f39742,4898.296875
f176,4880.146484375
f3201,4854.95361328125
f49180,4791.69140625
f32757,4785.21240234375
f49341,4784.1796875
f5577,4710.025390625
f33935,4707.54443359375
f90076,4692.32177734375
f31417,4688.36865234375
f48502,4662.84375
f10085,4612.42431640625
f15993,4604.3125
f1667,4571.9375
f12105,4517.4345703125
f12279,4509.33984375
f31245,4485.421875
f28902,4481.75
f349,4468.1875
f496,4461.1484375
f19709,4427.6689453125
f16181,4423.203125
f31921,4390.01123046875
f37127,4359.626953125
f48835,4351.08984375
f71634,4345.18603515625
f11944,4332.177734375
f47830,4329.19921875
f5768,4280.37744140625
f86290,4268.515625
f4354,4244.47314453125
f5715,4222.021484375
f58169,4193.8828125
f52292,4128.9375
f5888,4105.8984375
f31578,4068.208984375
f36455,4061.0625
f7574,4041.26953125
f2199,4037.04541015625
f52291,4036.5703125
f28366,4022.30078125
f15196,3980.58984375
f1853,3949.11376953125
f58485,3926.3046875
f6040,3916.24609375
f3177,3873.73046875
f79928,3869.0947265625
f85960,3838.740234375
f29876,3794.51953125
f28727,3785.85546875
f54309,3780.091796875
f24417,3772.510009765625
f79235,3738.40625
f2871,3643.71484375
f61579,3617.984375
f6706,3607.86962890625
f90199,3585.1708984375
f6583,3527.85546875
f311,3488.138671875
f5551,3470.209716796875
f59511,3447.3125
f33091,3417.52490234375
f90114,3399.617919921875
f36120,3375.5859375
f32760,3360.4970703125
f33767,3342.41455078125
f182,3297.933349609375
f31099,3295.322265625
f23596,3255.115234375
f2200,3245.573974609375
f18724,3236.72314453125
f79234,3224.2333984375
f28700,3211.185546875
f1407,3207.125
f7255,3191.109375
f7549,3166.8125
f77891,3163.059326171875
f42307,3137.22265625
f26235,3127.02734375
f84444,3111.90625
f59202,3091.33984375
f21003,3086.029296875
f5670,3085.3828125
f17526,2914.23046875
f7398,2905.244873046875
f54502,2884.55859375
f46487,2819.65625
f19039,2819.363037109375
f68625,2816.212890625
f3511,2812.515625
f33936,2809.267333984375
f59062,2777.67578125
f32254,2769.2138671875
f81100,2767.596435546875
f60742,2764.8125
f36934,2698.5595703125
f15992,2694.0
f49004,2691.250244140625
f62208,2676.999755859375
f33231,2666.18115234375
f888,2645.87158203125
f31919,2611.4765625
f77889,2556.028076171875
f51382,2555.9990234375
f12441,2544.6015625
f52984,2532.357421875
f518,2532.1748046875
f31920,2507.133056640625
f29759,2501.78515625
f2697,2500.881103515625
f84275,2479.75
f86815,2454.3818359375
f64581,2447.375
f89170,2446.172607421875
f66089,2413.99609375
f57641,2377.9970703125
f51360,2341.59423828125
f14837,2329.9619140625
f23547,2319.0869140625
f7572,2315.94580078125
f86316,2286.85888671875
f39410,2256.61328125
f88504,2245.0
f23062,2244.294921875
f26260,2210.105224609375
f27552,2180.869140625
f59393,2164.833984375
f1205,2136.81494140625
f8405,2134.891357421875
f15509,2133.28125
f33147,2125.863525390625
f51671,2122.060546875
f5718,2121.8818359375
f86955,2090.7109375
f5049,2082.10400390625
f55333,2076.359375
f57834,2058.89453125
f38135,2047.23974609375
f65942,2046.775390625
f18051,2020.63134765625
f76039,1996.70703125
f4041,1982.05859375
f86266,1977.638671875
f20,1975.31494140625
f82768,1967.63037109375
f37316,1960.0037841796875
f36791,1949.98046875
f90148,1941.6927490234375
f860,1939.9239501953125
f53830,1935.8770751953125
f62879,1923.607421875
f86265,1913.828125
f849,1901.974609375
f20170,1891.25
f14333,1878.9833984375
f2167,1860.32958984375
f29230,1851.9451904296875
f37969,1847.687255859375
f164,1823.5313720703125
f2219,1808.35546875
f24383,1768.90625
f14693,1767.625
f13310,1722.2392578125
f32279,1708.343505859375
f23354,1701.59814453125
f90220,1696.80517578125
f30890,1694.7021484375
f34965,1662.5274658203125
f9584,1660.386474609375
f12465,1654.52490234375
f35065,1646.0211181640625
f62566,1640.642578125
f84102,1589.0062255859375
f30746,1582.9031982421875
f72640,1579.65087890625
f18700,1568.84765625
f39408,1558.55517578125
f35784,1545.3985595703125
f67412,1529.6746826171875
f73150,1519.8818359375
f6560,1514.4375
f11769,1511.908203125
f84630,1508.4111328125
f60904,1496.5947265625
f3701,1493.677734375
f57329,1490.6783447265625
f82089,1485.8359375
f88161,1474.3203125
f59060,1466.220703125
f1016,1457.4581298828125
f4735,1448.912841796875
f49321,1444.6085205078125
f23381,1442.265625
f23383,1422.50146484375
f32427,1416.8150634765625
f60495,1414.358642578125
f39262,1411.3916015625
f62534,1405.887939453125
f1348,1396.675537109375
f7716,1379.16455078125
f37149,1376.3955078125
f11764,1369.9625244140625
f38397,1368.189208984375
f68822,1355.8720703125
f72644,1351.693359375
f44995,1347.307373046875
f30239,1336.8685302734375
f33430,1330.11083984375
f49343,1329.474609375
f29400,1329.3919677734375
f70147,1327.434814453125
f59828,1323.697265625
f1856,1314.0390625
f51867,1296.0091552734375
f68582,1290.970458984375
f28224,1290.541015625
f89775,1290.06396484375
f9773,1283.8306884765625
f18217,1279.914794921875
f80261,1266.99658203125
f8219,1251.3970947265625
f6394,1246.4747314453125
f62417,1237.1573486328125
f1573,1229.2554931640625
f19060,1228.42236328125
f69615,1221.0286865234375
f76210,1218.47216796875
f60162,1214.4300537109375
f9749,1207.985107421875
f63904,1206.09130859375
f23382,1202.076171875
f71659,1194.1279296875
f70627,1181.999267578125
f36767,1181.2412109375
f83114,1176.55224609375
f83074,1171.528564453125
f48332,1158.8848876953125
f4207,1156.67626953125
f47326,1148.75048828125
f31751,1144.484375
f55190,1143.75341796875
f14004,1135.4122314453125
f43126,1128.79833984375
f52506,1127.3575439453125
f39741,1120.4124755859375
f15342,1119.09375
f66113,1108.5679931640625
f87464,1105.990234375
f846,1105.89892578125
f42263,1105.7977294921875
f37,1102.614990234375
f10259,1071.95166015625
f29735,1070.7303466796875
f505,1066.755859375
f30408,1065.3662109375
f80931,1057.833984375
f42094,1054.462890625
f66406,1033.923583984375
f5722,1033.14892578125
f38,1031.6578369140625
f41635,1029.57470703125
f33412,1024.617431640625
f28726,1018.484375
f14858,1015.1192626953125
f62397,1007.78125
f14855,1006.8463745117188
f44641,995.9209594726562
f88138,995.34375
f43626,994.7872314453125
f131,982.2129516601562
f512,981.21875
f24409,980.5254516601562
f32258,980.3948974609375
f74634,980.3102416992188
f82280,977.8404541015625
f76218,977.701416015625
f90043,977.67529296875
f60569,972.6201171875
f23911,972.1644287109375
f43966,971.728759765625
f660,971.14404296875
f13277,970.5096435546875
f8742,964.017822265625
f54012,963.14453125
f5077,959.3036499023438
f88664,953.1014404296875
f60549,944.5662841796875
f39793,942.7177734375
f50011,942.35400390625
f21576,941.3347778320312
f12797,937.2687377929688
f11626,934.6375732421875
f63086,933.2684936523438
f53486,928.6318359375
f64390,925.4385375976562
f73123,921.1544799804688
f2198,916.923828125
f22565,916.30810546875
f71962,916.2374877929688
f40921,915.1329956054688
f59179,912.865478515625
f5702,911.280517578125
f37445,906.96826171875
f86625,903.417724609375
f1688,899.658203125
f29399,893.4375
f46126,878.8828125
