feature,importance_gain
f21168,5239156.0
f18312,2680977.75
f18984,930161.5625
f25704,894314.4375
f23830,506935.0
f20664,388051.5625
f25510,294705.25
f26014,181502.0
f77307,170911.25
f5502,154668.3125
f18816,146566.21875
f26712,133458.65625
f85227,130171.75
f78507,129986.6484375
f1301,125885.78125
f85587,115601.875
f18647,105833.0625
f28839,90776.3125
f85876,85051.5
f89067,83889.1875
f52407,82082.25
f13967,77287.625
f26879,70582.875
f2309,69621.65625
f65729,66529.2421875
f28671,64301.8125
f84723,61125.09375
f13349,60764.75
f14279,59762.296875
f45590,58058.75
f56289,53318.625
f32871,51740.58984375
f54137,50298.9375
f64690,45792.65625
f85732,43650.42578125
f71409,41962.578125
f76659,40853.90625
f64689,38813.6484375
f82515,38749.71875
f75611,34912.9609375
f76155,34430.15625
f74937,34365.953125
f35010,34260.375
f24023,33978.64453125
f87075,33263.59375
f19656,32560.44140625
f53099,30382.96875
f62843,30179.2890625
f6005,29060.640625
f49958,27869.89453125
f35684,27153.5
f55113,25898.609375
f19824,23482.548828125
f86379,22641.8671875
f65728,21561.162109375
f15463,20851.609375
f22871,20440.765625
f7513,20264.0859375
f41516,18643.3125
f52259,17932.578125
f57491,17252.9765625
f11533,16369.078125
f31916,16110.48828125
f90635,16078.3125
f17808,15772.46875
f14138,15642.8984375
f74768,14689.0625
f21504,12489.1796875
f83378,12253.828125
f38658,12200.392578125
f67882,12154.892578125
f13944,11567.8671875
f43867,11487.8125
f50463,11426.302734375
f86192,10656.10546875
f30183,9618.0341796875
f5163,9224.109375
f624,9186.2607421875
f8858,8838.0224609375
f80353,8791.6796875
f23687,8257.421875
f72426,8221.1796875
f29298,8069.83203125
f19328,7938.14599609375
f40367,7782.6328125
f45593,7488.1640625
f58307,7478.8798828125
f83545,7322.64453125
f79181,7269.6435546875
f22176,7175.44970703125
f61166,6896.19140625
f90479,6447.1953125
f36572,6325.99609375
f14783,6321.517578125
f85709,6314.0
f68723,6110.416015625
f23883,6073.97265625
f77835,5743.8349609375
f89304,5690.23828125
f57303,5359.98046875
f53267,5096.640625
f81529,4958.38671875
f25872,4906.1875
f14615,4878.4462890625
f17976,4821.8837890625
f20159,4799.763671875
f23016,4791.4677734375
f2811,4676.669921875
f54779,4634.8349609375
f90413,4557.72021484375
f39687,4507.2294921875
f74769,4440.93603515625
f64519,4258.0888671875
f6003,4059.05517578125
f22007,3940.762939453125
f44939,3784.41796875
f22343,3685.83349609375
f12389,3664.9560546875
f20372,3660.83447265625
f23184,3648.274169921875
f52599,3632.875
f21503,3524.09912109375
f22510,3470.869140625
f6652,3431.4765625
f2981,3421.86328125
f35752,3373.620361328125
f71748,3328.0009765625
f36888,3283.1201171875
f46081,3264.033203125
f7349,3113.512939453125
f89954,3067.845947265625
f4975,3032.61376953125
f60827,2988.16357421875
f64694,2969.81396484375
f13728,2925.95068359375
f65531,2860.47607421875
f11885,2848.540283203125
f33762,2838.23046875
f48399,2695.70361328125
f285,2693.89794921875
f83739,2597.431884765625
f63849,2588.80322265625
f5365,2581.783447265625
f72425,2533.052734375
f41558,2492.037353515625
f64688,2452.08203125
f52911,2438.44580078125
f460,2417.005859375
f19655,2413.203125
f10203,2404.83203125
f88083,2387.044921875
f43890,2378.3408203125
f47757,2288.985107421875
f44918,2264.17138671875
f22006,2252.75341796875
f85756,2087.833740234375
f89971,2056.087890625
f67208,2021.1280517578125
f0,2007.11572265625
f53608,2005.302734375
f65391,1967.6246337890625
f25535,1964.3212890625
f57804,1895.640869140625
f25368,1852.259521484375
f73622,1847.4464111328125
f25055,1826.9542236328125
f4,1769.154296875
f52094,1736.95849609375
f62366,1715.299072265625
f10006,1694.055419921875
f72588,1621.4383544921875
f20493,1606.296875
f61357,1598.58935546875
f86215,1574.00537109375
f23855,1567.9208984375
f70933,1557.15673828125
f16297,1555.53076171875
f90713,1553.3875732421875
f85922,1538.7275390625
f50464,1538.1717529296875
f88063,1532.9931640625
f26757,1508.62744140625
f35540,1507.404296875
f86401,1495.6534423828125
f51287,1421.0888671875
f35229,1408.287109375
f20276,1404.96630859375
f15304,1402.57421875
f32708,1385.1195068359375
f266,1381.561279296875
