feature,importance_shap
T2_S5_lag_1,10.603078
T2_S29_lag_1,5.012988
T0_S38_lag_1,4.8298087
T2_S9_lag_1,3.7252116
T1_S48_lag_1,3.4587557
T2_S49_lag_1,3.3125746
T1_S36_lag_1,2.4187837
T1_S32_lag_1,2.1355312
T5_S45_lag_1,2.0732386
T0_S5_lag_1,1.8171628
T3_S73_lag_1,1.666061
T5_S49_lag_9,1.530043
T5_S76_lag_9,1.4189451
T2_S21_lag_168,1.3707261
T1_S4_lag_1,1.2575868
T1_S13_lag_1,0.96374184
T5_S49_lag_1,0.8930592
T5_S2_lag_9,0.82023495
T5_S22_lag_8,0.81938106
T0_S58_lag_1,0.81768036
T1_S45_lag_1,0.7210878
T1_S72_lag_1,0.69139504
T0_S15_lag_1,0.63294595
T0_S46_lag_1,0.61980397
T5_S41_lag_8,0.5919466
T1_S11_lag_1,0.5380936
T3_S73_lag_2,0.51002014
T5_S55_lag_1,0.500843
T5_S62_lag_8,0.5007023
T2_S47_lag_1,0.47313842
T5_S2_lag_8,0.46680993
T1_S35_lag_1,0.4652181
T5_S56_lag_8,0.40039703
T5_S25_lag_8,0.38719833
T3_S48_lag_1,0.3863699
T1_S66_lag_1,0.37830213
T5_S25_lag_9,0.37492153
T5_S44_lag_8,0.33732867
T1_S34_lag_1,0.3243264
T5_S31_lag_8,0.3086957
T0_S82_lag_7,0.29806668
T5_S31_lag_9,0.278582
T2_S13_lag_168,0.27375296
T2_S12_lag_1,0.26633596
T1_S2_lag_1,0.25998786
T1_S6_lag_56,0.25029612
T4_S75_lag_10,0.24233097
T0_S40_lag_1,0.2353067
T2_S57_lag_168,0.23476225
T5_S62_lag_9,0.22883129
T0_S82_lag_9,0.22473536
T0_S45_lag_1,0.22216511
T4_S44_lag_42,0.21983021
T5_S73_lag_7,0.21812305
T0_S38_rolling_std_6,0.214657
T5_S12_lag_52,0.21214542
T2_S28_lag_168,0.20974079
T5_S69_lag_52,0.2076401
T3_S32_lag_1,0.20758408
T0_S44_lag_9,0.20417053
T2_S43_lag_168,0.19496652
T1_S8_lag_1,0.19364418
T5_S22_lag_9,0.1923282
T2_S34_lag_168,0.1921067
T1_S44_lag_1,0.19191104
T5_S73_lag_52,0.18874069
T1_S6_lag_55,0.1861643
T5_S42_lag_52,0.18080199
T0_S21_lag_1,0.17818625
T4_S109_lag_42,0.17469254
T1_S44_lag_8,0.17393605
T0_S82_lag_8,0.17074619
T4_S126_lag_1,0.17038564
T0_S68_lag_1,0.16519144
T1_S65_lag_1,0.16331388
T2_S58_lag_167,0.16127473
T0_S44_lag_7,0.16119847
T0_S0_lag_48,0.15653658
T0_S17_lag_1,0.150952
T0_S74_lag_11,0.14768961
T0_S38_lag_168,0.14582396
T2_S44_lag_168,0.1454226
T3_S14_lag_1,0.14242217
T3_S79_lag_1,0.1423678
T2_S58_lag_168,0.13932565
T1_S2_lag_8,0.13537829
T0_S47_lag_9,0.1339151
T1_S31_lag_1,0.13345955
T3_S21_lag_1,0.13149364
T4_S63_lag_1,0.1313614
T0_S15_lag_168,0.13047862
T0_S36_lag_1,0.13042484
T5_S38_lag_8,0.12959431
T5_S72_lag_8,0.12956646
T5_S22_lag_52,0.12950139
T3_S19_lag_1,0.12904367
T0_S10_lag_12,0.12860481
T5_S38_lag_9,0.12796386
T5_S73_lag_8,0.12683707
T0_S58_lag_11,0.12392569
T3_S10_lag_168,0.121547475
T1_S74_lag_1,0.12098421
T0_S0_lag_8,0.120600075
T1_S20_lag_1,0.11806061
T0_S15_lag_126,0.117826745
T0_S20_lag_126,0.11778465
T5_S6_lag_9,0.11582345
T0_S22_lag_6,0.11540167
T1_S33_lag_1,0.113044985
T5_S60_lag_1,0.11237177
T0_S0_lag_9,0.108856075
T1_S77_lag_1,0.1083751
T2_S54_lag_168,0.10754726
T0_S56_lag_123,0.1049745
T1_S8_lag_8,0.10222028
T5_S80_lag_7,0.10027798
T4_S65_lag_10,0.09846745
T2_S34_lag_1,0.09738228
T0_S50_rolling_std_6,0.09662321
T2_S2_lag_168,0.09616689
T0_S68_lag_9,0.09597532
T2_S33_lag_1,0.09586992
T2_S14_lag_1,0.09473381
T5_S44_lag_9,0.09446769
T3_S28_lag_168,0.09410698
T1_S62_lag_168,0.09388889
T2_S3_lag_27,0.09188776
